event_id,customer_id,event_type,event_date,metadata
E001,C002,cancel_requested,2024-03-10,reason=price
E002,C004,cancel_requested,2024-03-28,reason=competitor
E003,C006,cancel_requested,2024-02-20,reason=unused
E004,C008,cancel_requested,2024-01-25,reason=price
E005,C001,plan_upgrade,2024-02-01,from=starter&to=pro
E006,C003,plan_upgrade,2024-01-15,from=pro&to=enterprise
E007,C010,cancel_requested,2024-05-10,reason=budget_cut
E008,C012,cancel_requested,2024-01-10,reason=competitor
E009,C014,cancel_requested,2024-06-08,reason=price
E010,C016,cancel_requested,2024-03-20,reason=too_complex
E011,C018,cancel_requested,2024-02-20,reason=unused
E012,C020,cancel_requested,2024-01-25,reason=switching_tools
E013,C009,plan_upgrade,2024-01-10,from=pro&to=business
E014,C015,plan_upgrade,2023-10-01,from=starter&to=pro
E015,C017,payment_failed,2024-03-05,attempt=1
E016,C022,cancel_requested,2023-01-05,reason=price
E017,C024,cancel_requested,2023-06-18,reason=competitor
E018,C026,cancel_requested,2023-08-08,reason=budget_cut
E019,C028,cancel_requested,2023-11-20,reason=unused
E020,C030,cancel_requested,2024-02-15,reason=too_complex
E021,C032,cancel_requested,2022-11-20,reason=switching_tools
E022,C034,cancel_requested,2023-03-20,reason=price
E023,C036,cancel_requested,2024-04-22,reason=competitor
E024,C038,cancel_requested,2024-07-18,reason=budget_cut
E025,C041,cancel_requested,2023-05-08,reason=unused
E026,C044,cancel_requested,2023-09-22,reason=price
E027,C046,cancel_requested,2024-03-05,reason=too_complex
E028,C049,cancel_requested,2024-10-20,reason=switching_tools
E029,C021,plan_upgrade,2022-09-01,from=starter&to=pro
E030,C023,plan_upgrade,2023-02-15,from=pro&to=business
E031,C025,payment_failed,2023-04-10,attempt=1
E032,C027,plan_upgrade,2023-08-01,from=business&to=enterprise
E033,C029,payment_failed,2023-10-15,attempt=1
E034,C031,plan_downgrade,2022-07-01,from=enterprise&to=business
E035,C033,plan_upgrade,2023-01-10,from=business&to=enterprise
E036,C035,plan_upgrade,2024-01-05,from=pro&to=business
E037,C037,plan_upgrade,2024-04-01,from=starter&to=pro
E038,C039,payment_failed,2024-05-10,attempt=1
E039,C040,plan_upgrade,2024-07-01,from=starter&to=pro
E040,C042,plan_upgrade,2023-05-01,from=pro&to=business
E041,C043,plan_upgrade,2023-07-15,from=business&to=enterprise
E042,C045,payment_failed,2023-11-20,attempt=1
E043,C047,plan_downgrade,2024-03-01,from=enterprise&to=business
E044,C048,plan_upgrade,2024-07-15,from=starter&to=pro
E045,C050,plan_upgrade,2024-10-01,from=pro&to=business
